metric,model,lambda,alpha_code_parameter,year,forecast,mean_ci95_lower,mean_ci95_upper,prediction_interval95_lower,prediction_interval95_upper,interval_method,interval_warning,point_semantics,bootstrap_repetitions,random_seed,training_end_year,training_n,simulated_training_n,bootstrap_mean_draws_clipped_at_zero,bootstrap_prediction_draws_clipped_at_zero,uses_2025_as_training
tourist_visits,raw_target_ridge_alpha_0.1,0.1000000000,0.1000000000,2026,3039.5519564430,2816.6951608619,3241.7836061079,2663.1510548846,3400.4223802465,"heuristic fixed-design iid residual bootstrap (10000 repetitions), frozen lambda=0.1","assumes exchangeable residuals and no serial dependence; coverage is unvalidated; excludes tuning, structural, missingness, and scenario uncertainty",raw-scale conditional mean under the frozen Ridge specification,10000,20260817,2024,15,3,0,0,False
tourist_visits,raw_target_ridge_alpha_0.1,0.1000000000,0.1000000000,2027,3251.4786314255,3009.7612926457,3459.2192148658,2862.3055843745,3605.1592114902,"heuristic fixed-design iid residual bootstrap (10000 repetitions), frozen lambda=0.1","assumes exchangeable residuals and no serial dependence; coverage is unvalidated; excludes tuning, structural, missingness, and scenario uncertainty",raw-scale conditional mean under the frozen Ridge specification,10000,20260817,2024,15,3,0,0,False
tourist_visits,raw_target_ridge_alpha_0.1,0.1000000000,0.1000000000,2028,3463.4053064081,3198.8310710038,3678.9127061844,3071.2830932774,3815.7802439097,"heuristic fixed-design iid residual bootstrap (10000 repetitions), frozen lambda=0.1","assumes exchangeable residuals and no serial dependence; coverage is unvalidated; excludes tuning, structural, missingness, and scenario uncertainty",raw-scale conditional mean under the frozen Ridge specification,10000,20260817,2024,15,3,0,0,False
tourist_visits,raw_target_ridge_alpha_0.1,0.1000000000,0.1000000000,2029,3675.3319813907,3387.8011437591,3901.5207455494,3255.3511580418,4027.8870131200,"heuristic fixed-design iid residual bootstrap (10000 repetitions), frozen lambda=0.1","assumes exchangeable residuals and no serial dependence; coverage is unvalidated; excludes tuning, structural, missingness, and scenario uncertainty",raw-scale conditional mean under the frozen Ridge specification,10000,20260817,2024,15,3,0,0,False
tourist_visits,raw_target_ridge_alpha_0.1,0.1000000000,0.1000000000,2030,3887.2586563732,3574.4444122449,4128.0229074686,3449.1397636624,4251.0250327203,"heuristic fixed-design iid residual bootstrap (10000 repetitions), frozen lambda=0.1","assumes exchangeable residuals and no serial dependence; coverage is unvalidated; excludes tuning, structural, missingness, and scenario uncertainty",raw-scale conditional mean under the frozen Ridge specification,10000,20260817,2024,15,3,0,0,False
tourist_visits,raw_target_ridge_tuned_lambda,0.0001000000,0.0001000000,2026,3049.7470050393,2838.1482452302,3266.5588323515,2682.4637656260,3422.0285636979,"heuristic fixed-design iid residual bootstrap (10000 repetitions), frozen lambda=0.0001","assumes exchangeable residuals and no serial dependence; coverage is unvalidated; excludes tuning, structural, missingness, and scenario uncertainty",raw-scale conditional mean under the frozen Ridge specification,10000,20260817,2024,15,3,0,0,False
tourist_visits,raw_target_ridge_tuned_lambda,0.0001000000,0.0001000000,2027,3268.4429513861,3043.7838046004,3494.9826677740,2895.4666966774,3637.0112048782,"heuristic fixed-design iid residual bootstrap (10000 repetitions), frozen lambda=0.0001","assumes exchangeable residuals and no serial dependence; coverage is unvalidated; excludes tuning, structural, missingness, and scenario uncertainty",raw-scale conditional mean under the frozen Ridge specification,10000,20260817,2024,15,3,0,0,False
tourist_visits,raw_target_ridge_tuned_lambda,0.0001000000,0.0001000000,2028,3487.1388977330,3245.2559689766,3729.3503240944,3114.6167550812,3868.5026611711,"heuristic fixed-design iid residual bootstrap (10000 repetitions), frozen lambda=0.0001","assumes exchangeable residuals and no serial dependence; coverage is unvalidated; excludes tuning, structural, missingness, and scenario uncertainty",raw-scale conditional mean under the frozen Ridge specification,10000,20260817,2024,15,3,0,0,False
tourist_visits,raw_target_ridge_tuned_lambda,0.0001000000,0.0001000000,2029,3705.8348440798,3447.0407910513,3962.7330828215,3315.4808358247,4095.5692164112,"heuristic fixed-design iid residual bootstrap (10000 repetitions), frozen lambda=0.0001","assumes exchangeable residuals and no serial dependence; coverage is unvalidated; excludes tuning, structural, missingness, and scenario uncertainty",raw-scale conditional mean under the frozen Ridge specification,10000,20260817,2024,15,3,0,0,False
tourist_visits,raw_target_ridge_tuned_lambda,0.0001000000,0.0001000000,2030,3924.5307904267,3645.5084556966,4202.9531358851,3519.2432852988,4330.0925435618,"heuristic fixed-design iid residual bootstrap (10000 repetitions), frozen lambda=0.0001","assumes exchangeable residuals and no serial dependence; coverage is unvalidated; excludes tuning, structural, missingness, and scenario uncertainty",raw-scale conditional mean under the frozen Ridge specification,10000,20260817,2024,15,3,0,0,False
