gov_jz_report_2022,蓟州区政府工作报告,2022年政府工作报告,https://www.tjjz.gov.cn/zwgk/ZFGZBG_20201207/202112/t20211227_5762428.html,data/raw/government/government_report_2022.html,downloaded_html,accessed=2026-08-17;含2021综合收入
gov_jz_report_2023,蓟州区政府工作报告,2023年政府工作报告,https://www.tjjz.gov.cn/zwgk/ZFGZBG_20201207/202301/t20230106_6070587.html,data/raw/government/government_report_2023.html,downloaded_html,accessed=2026-08-17;含2023目标非2022实际
gov_jz_report_2024,蓟州区政府工作报告,2024年政府工作报告,https://www.tjjz.gov.cn/zwgk/ZFGZBG_20201207/202401/t20240130_6524881.html,data/raw/government/government_report_2024.html,downloaded_html,accessed=2026-08-17;含2023旅游实际
gov_jz_report_2025,蓟州区政府工作报告,2025年政府工作报告,https://www.tjjz.gov.cn/zwgk/ZFGZBG_20201207/202501/t20250114_6833334.html,data/raw/government/government_report_2025.html,downloaded_html,accessed=2026-08-17;含2024实际及2025目标
gov_jz_report_2026,蓟州区政府工作报告,2026年政府工作报告,https://www.tjjz.gov.cn/zwgk/ZFGZBG_20201207/202601/t20260121_7228239.html,data/raw/government/government_report_2026.html,downloaded_html,accessed=2026-08-17;含2021—2025旅游累计值
gov_jz_bulletin_2011,蓟州区统计公报,2011年蓟县国民经济和社会发展统计公报,https://www.tjjz.gov.cn/zwgk/zfxxgkqjjg/tjj1/fdzdgknr34/tjxx34/202012/t20201227_5212509.html,data/raw/government/statistical_summary_2011.html,downloaded_html,accessed=2026-08-17;含游客和直接/综合收入
gov_jz_bulletin_2014,蓟州区统计公报,2014年蓟县国民经济和社会发展统计公报,https://www.tjjz.gov.cn/zwgk/zfxxgkqjjg/tjj1/fdzdgknr34/tjxx34/202012/t20201227_5212510.html,data/raw/government/tourism_statistics_2011.html,downloaded_html,accessed=2026-08-17;本地旧文件名不代表年份
gov_jz_tourism_stats_2014,蓟州区旅游统计,2014年商业外贸固投旅游,https://www.tjjz.gov.cn/zwgk/zfxxgkqjjg/tjj1/fdzdgknr34/tjxx34/202012/t20201227_5212306.html,data/raw/government/tourism_statistics_2014.html,downloaded_html,accessed=2026-08-17;直接收入单位万元
gov_jz_tourism_stats_2015,蓟州区旅游统计,2015年4季度商业外贸建筑业固投旅游,https://www.tjjz.gov.cn/zwgk/zfxxgkqjjg/tjj1/fdzdgknr34/tjxx34/202012/t20201227_5212477.html,data/raw/government/tourism_statistics_2015.html,downloaded_html,accessed=2026-08-17;含2014修订值
gov_jz_tourism_stats_2016,蓟州区旅游统计,2016年商业外贸建筑业固投旅游居民生活,https://www.tjjz.gov.cn/zwgk/zfxxgkqjjg/tjj1/fdzdgknr34/tjxx34/202012/t20201227_5212519.html,data/raw/government/tourism_statistics_2016.html,downloaded_html,accessed=2026-08-17;含2015修订值
gov_jz_tourism_stats_2017,蓟州区旅游统计,2017年4季度商业外贸建筑业固投旅游居民生活,https://www.tjjz.gov.cn/zwgk/zfxxgkqjjg/tjj1/fdzdgknr34/tjxx34/202012/t20201227_5212503.html,data/raw/government/tourism_statistics_2017.html,downloaded_html,accessed=2026-08-17;含2016修订值
gov_jz_tourism_summary_2013,蓟州区旅游统计,2013年旅游工作总结,https://www.tjjz.gov.cn/zwgk/zcwj/qjwj/qjjg/whhlyj2/202012/t20201227_5212681.html,data/raw/government/historical_official_cache_evidence.md,indexed_official_page_removed,accessed=2026-08-17;Chrome确认页面已撤稿；保存最小证据记录
gov_jz_tourism_attachment_2015,蓟州区旅游统计,2015年旅游数据政府站辅助附件,https://www.tjjz.gov.cn/xwzx/GSGG20201207/202012/W020201226537834083333.pdf,data/raw/government/historical_official_cache_evidence.md,indexed_official_attachment_unavailable,accessed=2026-08-17;附件当前不可直取；证据等级3
gov_jz_bulletin_2019,蓟州区统计公报,2019年统计公报,https://www.tjjz.gov.cn/zwgk/zfxxgkqjjg/tjj1/fdzdgknr34/tjxx34/202107/t20210705_5495855.html,data/raw/government/statistical_bulletin_2019.html,downloaded_html,accessed=2026-08-17;官方HTML原件
gov_jz_bulletin_2019_copy,蓟州区统计公报,2019年统计公报初始归档副本,https://www.tjjz.gov.cn/zwgk/zfxxgkqjjg/tjj1/fdzdgknr34/tjxx34/202107/t20210705_5495855.html,data/raw/government/jizhou_2019_bulletin_page.html,downloaded_html_duplicate,accessed=2026-08-17;与标准命名文件内容等价
gov_jz_bulletin_2020,蓟州区统计公报,2020年统计公报及年鉴发布页,https://www.tjjz.gov.cn/zwgk/zfxxgkqjjg/tjj1/fdzdgknr34/tjxx34/202111/t20211115_5703949.html,data/raw/government/statistical_bulletin_2020.html,downloaded_html,accessed=2026-08-17;官方HTML原件
gov_jz_bulletin_2020_copy,蓟州区统计公报,2020年统计公报及年鉴初始归档副本,https://www.tjjz.gov.cn/zwgk/zfxxgkqjjg/tjj1/fdzdgknr34/tjxx34/202111/t20211115_5703949.html,data/raw/government/jizhou_2020_bulletin_yearbook_page.html,downloaded_html_duplicate,accessed=2026-08-17;与标准命名文件内容等价
gov_jz_yearbook_2020_comprehensive,蓟州区统计年鉴,2020年鉴综合表,https://www.tjjz.gov.cn/zwgk/zfxxgkqjjg/tjj1/fdzdgknr34/tjxx34/202111/W020211117618518239847.xls,data/raw/government/jizhou_yearbook_2020_comprehensive.xls,downloaded_xls,accessed=2026-08-17;官方Excel附件
gov_jz_bulletin_2021,蓟州区统计公报,2021年统计公报,https://www.tjjz.gov.cn/zwgk/sjfb/tjgb/202211/t20221128_6044247.html,data/raw/government/statistical_bulletin_2021.html,downloaded_html,accessed=2026-08-17;官方HTML原件
gov_jz_yearbook_2021_page,蓟州区统计年鉴,2021年统计年鉴发布页,https://www.tjjz.gov.cn/zwgk/sjfb/tjnb/202211/t20221128_6044242.html,data/raw/government/jizhou_2021_yearbook_page.html,downloaded_html,accessed=2026-08-17;官方HTML原件
gov_jz_yearbook_2021,蓟州区统计年鉴,2021年统计年鉴RAR,https://www.tjjz.gov.cn/zwgk/sjfb/tjnb/202211/W020250107625770490134.rar,data/raw/government/jizhou_yearbook_2021.rar,downloaded_rar,accessed=2026-08-17;含14个分类表
gov_jz_bulletin_2022,蓟州区统计公报,2022年统计公报,https://www.tjjz.gov.cn/zwgk/sjfb/tjgb/202311/t20231107_6450006.html,data/raw/government/statistical_bulletin_2022.html,downloaded_html,accessed=2026-08-17;官方HTML原件
gov_jz_yearbook_2022_page,蓟州区统计年鉴,2022年统计年鉴发布页,https://www.tjjz.gov.cn/zwgk/sjfb/tjnb/202311/t20231108_6450942.html,data/raw/government/jizhou_2022_yearbook_page.html,downloaded_html,accessed=2026-08-17;官方HTML原件
gov_jz_yearbook_2022,蓟州区统计年鉴,2022年蓟州区统计年鉴PDF,https://www.tjjz.gov.cn/zwgk/sjfb/tjnb/202311/W020250107625663560312.pdf,data/raw/government/jizhou_yearbook_2022.pdf,downloaded_pdf,accessed=2026-08-17;174页
gov_jz_bulletin_2023,蓟州区统计公报,2023年统计公报,https://www.tjjz.gov.cn/zwgk/zfxxgkqjjg/tjj1/fdzdgknr34/tjxx34/202406/t20240627_6662772.html,data/raw/government/statistical_bulletin_2023.html,downloaded_html,accessed=2026-08-17;官方HTML原件
gov_jz_yearbook_2023_page,蓟州区统计年鉴,2023年统计年鉴发布页,https://www.tjjz.gov.cn/zwgk/sjfb/tjnb/202501/t20250103_6824073.html,data/raw/government/jizhou_2023_yearbook_page.html,downloaded_html,accessed=2026-08-17;官方HTML原件
gov_jz_yearbook_2023,蓟州区统计年鉴,2023年蓟州区统计年鉴PDF,https://www.tjjz.gov.cn/zwgk/sjfb/tjnb/202501/W020250103638170510358.pdf,data/raw/government/jizhou_yearbook_2023.pdf,downloaded_pdf,accessed=2026-08-17;173页
gov_jz_bulletin_2024,蓟州区统计公报,2024年统计公报,https://www.tjjz.gov.cn/zwgk/sjfb/tjgb/202506/t20250630_6969506.html,data/raw/government/statistical_bulletin_2024.html,downloaded_html,accessed=2026-08-17;官方HTML原件
gov_jz_yearbook_2024_page,蓟州区统计年鉴,2024年统计年鉴发布页,https://www.tjjz.gov.cn/zwgk/sjfb/tjnb/202511/t20251126_7185954.html,data/raw/government/jizhou_2024_yearbook_page.html,downloaded_html,accessed=2026-08-17;官方HTML原件
gov_jz_yearbook_2024,蓟州区统计年鉴,2024年蓟州区统计年鉴PDF,https://www.tjjz.gov.cn/zwgk/sjfb/tjnb/202511/W020251126560102082891.pdf,data/raw/government/jizhou_yearbook_2024.pdf,downloaded_pdf,accessed=2026-08-17;173页
gov_jz_bulletin_2025,蓟州区统计公报,2025年统计公报,https://www.tjjz.gov.cn/zwgk/sjfb/tjgb/202606/t20260629_7325623.html,data/raw/government/statistical_bulletin_2025.html,downloaded_html,accessed=2026-08-17;官方HTML原件
gov_jz_monthly_2024,蓟州区月度统计,2024年1—12月统计资料,https://www.tjjz.gov.cn/zwgk/sjfb/tjyb/202501/t20250123_6842681.html,data/raw/government/monthly_statistics_2024.html,downloaded_html,accessed=2026-08-17;年度累计指标
gov_tj_yearbook_2011_jixian,天津统计年鉴,2011年鉴蓟县基本情况,https://stats.tj.gov.cn/nianjian/2011nj/html/2316.htm,data/raw/government/tianjin_statistics/tj_yearbook_2011_jixian_basic.html,downloaded_html,accessed=2026-08-17;含2009—2010区县指标
gov_tj_yearbook_2012_jixian,天津统计年鉴,2012年鉴蓟县基本情况,https://stats.tj.gov.cn/nianjian/2012nj/html/22-17.htm,data/raw/government/historical_official_cache_evidence.md,indexed_official_page_waf,accessed=2026-08-17;旧站防护导致原件下载重定向循环；官方索引可复核
gov_tj_yearbook_2023_jizhou,天津统计年鉴,2023年鉴蓟州区基本情况,https://stats.tj.gov.cn/nianjian/2023nj/zk/html/25-17.xls,data/raw/government/tianjin_statistics/tj_yearbook_2023_jizhou_basic.xls,downloaded_xls,accessed=2026-08-17;区级校验表
gov_tj_yearbook_2024_jizhou,天津统计年鉴,2024年鉴蓟州区基本情况,https://stats.tj.gov.cn/nianjian/2024nj/zk/html/25-17.xls,data/raw/government/tianjin_statistics/tj_yearbook_2024_jizhou_basic.xls,downloaded_xls,accessed=2026-08-17;区级校验表
gov_tj_yearbook_2024_districts,天津统计年鉴,2024年鉴各区主要经济指标,https://stats.tj.gov.cn/nianjian/2024nj/zk/html/25-01.xls,data/raw/government/tianjin_statistics/tj_yearbook_2024_district_indicators.xls,downloaded_xls,accessed=2026-08-17;跨区校验表
gov_tj_yearbook_2025_jizhou,天津统计年鉴,2025年鉴蓟州区基本情况,https://stats.tj.gov.cn/nianjian/2025nj/zk/html/25-17.xls,data/raw/government/tianjin_statistics/tj_yearbook_2025_jizhou_basic.xls,downloaded_xls,accessed=2026-08-17;区级校验表
gov_tj_yearbook_2025_districts,天津统计年鉴,2025年鉴各区主要经济指标,https://stats.tj.gov.cn/nianjian/2025nj/zk/html/25-01.xls,data/raw/government/tianjin_statistics/tj_yearbook_2025_district_indicators.xls,downloaded_xls,accessed=2026-08-17;跨区校验表
gov_tj_whly_star_hotels_2024,天津文旅统计,2024年分区星级饭店,https://whly.tj.gov.cn/ZWGKYXXGK1640/ZFXXGK5456_1/FDZDGKNR5153/TJXX3610/202509/W020250912551107590041.xls,data/raw/government/tianjin_culture_tourism/star_hotels_by_district_2024.xls,downloaded_xls,accessed=2026-08-17;结构校验数据非蓟州旅游总量
gov_tj_whly_scenic_2021_2024,天津文旅统计,2021—2024重点A级景区,https://whly.tj.gov.cn/ZWGKYXXGK1640/ZFXXGK5456_1/FDZDGKNR5153/TJXX3610/202509/W020250912550622295186.xls,data/raw/government/tianjin_culture_tourism/key_a_scenic_spots_2021_2024.xls,downloaded_xls,accessed=2026-08-17;结构校验数据非全区旅游总量
