data_scope,metric,model,lambda,year,forecast,training_start_year,training_end_year,training_n,uses_2025_as_training,forecast_semantics
harmonized_bridge,jizhou_tertiary_value_added,ridge_fixed_lambda_0.1,0.1000000000,2026,196.9342993653,2010,2024,15,False,conditional point forecast from the frozen Ridge specification; 2025 official_initial is held out
harmonized_bridge,jizhou_tertiary_value_added,ridge_fixed_lambda_0.1,0.1000000000,2027,203.6971278647,2010,2024,15,False,conditional point forecast from the frozen Ridge specification; 2025 official_initial is held out
harmonized_bridge,jizhou_tertiary_value_added,ridge_fixed_lambda_0.1,0.1000000000,2028,210.4599563640,2010,2024,15,False,conditional point forecast from the frozen Ridge specification; 2025 official_initial is held out
harmonized_bridge,jizhou_tertiary_value_added,ridge_fixed_lambda_0.1,0.1000000000,2029,217.2227848633,2010,2024,15,False,conditional point forecast from the frozen Ridge specification; 2025 official_initial is held out
harmonized_bridge,jizhou_tertiary_value_added,ridge_fixed_lambda_0.1,0.1000000000,2030,223.9856133627,2010,2024,15,False,conditional point forecast from the frozen Ridge specification; 2025 official_initial is held out
original_mixed,jizhou_tertiary_value_added,ridge_fixed_lambda_0.1,0.1000000000,2026,195.4836295870,2010,2024,15,False,conditional point forecast from the frozen Ridge specification; 2025 official_initial is held out
original_mixed,jizhou_tertiary_value_added,ridge_fixed_lambda_0.1,0.1000000000,2027,201.5042121335,2010,2024,15,False,conditional point forecast from the frozen Ridge specification; 2025 official_initial is held out
original_mixed,jizhou_tertiary_value_added,ridge_fixed_lambda_0.1,0.1000000000,2028,207.5247946800,2010,2024,15,False,conditional point forecast from the frozen Ridge specification; 2025 official_initial is held out
original_mixed,jizhou_tertiary_value_added,ridge_fixed_lambda_0.1,0.1000000000,2029,213.5453772265,2010,2024,15,False,conditional point forecast from the frozen Ridge specification; 2025 official_initial is held out
original_mixed,jizhou_tertiary_value_added,ridge_fixed_lambda_0.1,0.1000000000,2030,219.5659597730,2010,2024,15,False,conditional point forecast from the frozen Ridge specification; 2025 official_initial is held out
harmonized_bridge,jizhou_tertiary_value_added,ridge_nested_tuned,1.7782794100,2026,191.7577632740,2010,2024,15,False,conditional point forecast from the frozen Ridge specification; 2025 official_initial is held out
harmonized_bridge,jizhou_tertiary_value_added,ridge_nested_tuned,1.7782794100,2027,197.1405189744,2010,2024,15,False,conditional point forecast from the frozen Ridge specification; 2025 official_initial is held out
harmonized_bridge,jizhou_tertiary_value_added,ridge_nested_tuned,1.7782794100,2028,202.5232746747,2010,2024,15,False,conditional point forecast from the frozen Ridge specification; 2025 official_initial is held out
harmonized_bridge,jizhou_tertiary_value_added,ridge_nested_tuned,1.7782794100,2029,207.9060303751,2010,2024,15,False,conditional point forecast from the frozen Ridge specification; 2025 official_initial is held out
harmonized_bridge,jizhou_tertiary_value_added,ridge_nested_tuned,1.7782794100,2030,213.2887860754,2010,2024,15,False,conditional point forecast from the frozen Ridge specification; 2025 official_initial is held out
original_mixed,jizhou_tertiary_value_added,ridge_nested_tuned,5.6234132519,2026,188.5233215448,2010,2024,15,False,conditional point forecast from the frozen Ridge specification; 2025 official_initial is held out
original_mixed,jizhou_tertiary_value_added,ridge_nested_tuned,5.6234132519,2027,190.0175978848,2010,2024,15,False,conditional point forecast from the frozen Ridge specification; 2025 official_initial is held out
original_mixed,jizhou_tertiary_value_added,ridge_nested_tuned,5.6234132519,2028,191.5118742247,2010,2024,15,False,conditional point forecast from the frozen Ridge specification; 2025 official_initial is held out
original_mixed,jizhou_tertiary_value_added,ridge_nested_tuned,5.6234132519,2029,193.0061505646,2010,2024,15,False,conditional point forecast from the frozen Ridge specification; 2025 official_initial is held out
original_mixed,jizhou_tertiary_value_added,ridge_nested_tuned,5.6234132519,2030,194.5004269045,2010,2024,15,False,conditional point forecast from the frozen Ridge specification; 2025 official_initial is held out
