period_start,period_end,period_type,metric,value,unit,value_status,metric_scope,source_id,evidence_tier,publication_date,accessed_date,source_url,notes
2013,2013,annual,tourism_comprehensive_income,63.2,100m_cny,observed_cached,comprehensive_income,gov_jz_tourism_summary_2013,2,2013-12-31,2026-08-17,https://www.tjjz.gov.cn/zwgk/zcwj/qjwj/qjjg/whhlyj2/202012/t20201227_5212681.html,官方详情页当前已撤稿；由官方目录和同URL搜索索引复核
2014,2014,annual,tourist_visits,1541.59,10k_persons,observed_initial,all_visitors,gov_jz_bulletin_2014,1,2015-01-16,2026-08-17,https://www.tjjz.gov.cn/zwgk/zfxxgkqjjg/tjj1/fdzdgknr34/tjxx34/202012/t20201227_5212510.html,同年后续统计页有修订值
2014,2014,annual,tourism_direct_income,15.7,100m_cny,observed_initial,direct_income,gov_jz_bulletin_2014,1,2015-01-16,2026-08-17,https://www.tjjz.gov.cn/zwgk/zfxxgkqjjg/tjj1/fdzdgknr34/tjxx34/202012/t20201227_5212510.html,同年后续统计页有修订值
2014,2014,annual,tourism_comprehensive_income,79,100m_cny,observed,comprehensive_income,gov_jz_bulletin_2014,1,2015-01-16,2026-08-17,https://www.tjjz.gov.cn/zwgk/zfxxgkqjjg/tjj1/fdzdgknr34/tjxx34/202012/t20201227_5212510.html,
2014,2014,annual,tourist_visits,1554,10k_persons,observed_initial,all_visitors,gov_jz_tourism_stats_2014,1,2015-01-16,2026-08-17,https://www.tjjz.gov.cn/zwgk/zfxxgkqjjg/tjj1/fdzdgknr34/tjxx34/202012/t20201227_5212306.html,商业外贸固投旅游表当期发布值
2014,2014,annual,tourism_direct_income,15.8162,100m_cny,observed_initial,direct_income,gov_jz_tourism_stats_2014,1,2015-01-16,2026-08-17,https://www.tjjz.gov.cn/zwgk/zfxxgkqjjg/tjj1/fdzdgknr34/tjxx34/202012/t20201227_5212306.html,原表单位万元后换算为亿元
2014,2014,annual,tourist_visits,1553.4,10k_persons,observed_revised,all_visitors,gov_jz_tourism_stats_2015,1,2016-02-10,2026-08-17,https://www.tjjz.gov.cn/zwgk/zfxxgkqjjg/tjj1/fdzdgknr34/tjxx34/202012/t20201227_5212477.html,2015年表回列的2014年修订值
2014,2014,annual,tourism_direct_income,15.8007,100m_cny,observed_revised,direct_income,gov_jz_tourism_stats_2015,1,2016-02-10,2026-08-17,https://www.tjjz.gov.cn/zwgk/zfxxgkqjjg/tjj1/fdzdgknr34/tjxx34/202012/t20201227_5212477.html,2015年表回列值；原表单位万元后换算为亿元
2015,2015,annual,tourist_visits,1814.4,10k_persons,observed_initial,all_visitors,gov_jz_tourism_stats_2015,1,2016-02-10,2026-08-17,https://www.tjjz.gov.cn/zwgk/zfxxgkqjjg/tjj1/fdzdgknr34/tjxx34/202012/t20201227_5212477.html,
2015,2015,annual,tourism_direct_income,18.7661,100m_cny,observed_initial,direct_income,gov_jz_tourism_stats_2015,1,2016-02-10,2026-08-17,https://www.tjjz.gov.cn/zwgk/zfxxgkqjjg/tjj1/fdzdgknr34/tjxx34/202012/t20201227_5212477.html,原表单位万元后换算为亿元
2015,2015,annual,tourist_visits,1818.72,10k_persons,observed_revised,all_visitors,gov_jz_tourism_stats_2016,1,2017-03-06,2026-08-17,https://www.tjjz.gov.cn/zwgk/zfxxgkqjjg/tjj1/fdzdgknr34/tjxx34/202012/t20201227_5212519.html,2016年表回列的2015年修订值
2015,2015,annual,tourism_direct_income,18.7922,100m_cny,observed_revised,direct_income,gov_jz_tourism_stats_2016,1,2017-03-06,2026-08-17,https://www.tjjz.gov.cn/zwgk/zfxxgkqjjg/tjj1/fdzdgknr34/tjxx34/202012/t20201227_5212519.html,2016年表回列值；原表单位万元后换算为亿元
2015,2015,annual,tourism_comprehensive_income,94,100m_cny,observed_supporting_attachment,comprehensive_income,gov_jz_tourism_attachment_2015,3,2016-01-05,2026-08-17,https://www.tjjz.gov.cn/xwzx/GSGG20201207/202012/W020201226537834083333.pdf,政府站附件当前不可直取；搜索索引可复核且证据等级较低
2016,2016,annual,tourist_visits,2086.27,10k_persons,observed_initial,all_visitors,gov_jz_tourism_stats_2016,1,2017-03-06,2026-08-17,https://www.tjjz.gov.cn/zwgk/zfxxgkqjjg/tjj1/fdzdgknr34/tjxx34/202012/t20201227_5212519.html,
2016,2016,annual,tourism_direct_income,21.9191,100m_cny,observed_initial,direct_income,gov_jz_tourism_stats_2016,1,2017-03-06,2026-08-17,https://www.tjjz.gov.cn/zwgk/zfxxgkqjjg/tjj1/fdzdgknr34/tjxx34/202012/t20201227_5212519.html,原表单位万元后换算为亿元
2016,2016,annual,tourist_visits,2086,10k_persons,observed_revised,all_visitors,gov_jz_tourism_stats_2017,1,2018-03-12,2026-08-17,https://www.tjjz.gov.cn/zwgk/zfxxgkqjjg/tjj1/fdzdgknr34/tjxx34/202012/t20201227_5212503.html,2017年表回列的2016年修订值
2016,2016,annual,tourism_direct_income,21.9172,100m_cny,observed_revised,direct_income,gov_jz_tourism_stats_2017,1,2018-03-12,2026-08-17,https://www.tjjz.gov.cn/zwgk/zfxxgkqjjg/tjj1/fdzdgknr34/tjxx34/202012/t20201227_5212503.html,2017年表回列值；原表单位万元后换算为亿元
2017,2017,annual,tourist_visits,2392,10k_persons,observed,all_visitors,gov_jz_tourism_stats_2017,1,2018-03-12,2026-08-17,https://www.tjjz.gov.cn/zwgk/zfxxgkqjjg/tjj1/fdzdgknr34/tjxx34/202012/t20201227_5212503.html,
2017,2017,annual,tourism_direct_income,26.1347,100m_cny,observed,direct_income,gov_jz_tourism_stats_2017,1,2018-03-12,2026-08-17,https://www.tjjz.gov.cn/zwgk/zfxxgkqjjg/tjj1/fdzdgknr34/tjxx34/202012/t20201227_5212503.html,原表单位万元后换算为亿元
2017,2017,annual,tourist_visits,2400,10k_persons,observed_rounded,all_visitors,gov_jz_report_2018,1,2018-01-18,2026-08-17,https://www.tjjz.gov.cn/zwgk/ZFGZBG_20201207/202012/t20201227_5203142.html,工作报告采用约数
2017,2017,annual,tourism_comprehensive_income,130,100m_cny,observed_rounded,comprehensive_income,gov_jz_report_2018,1,2018-01-18,2026-08-17,https://www.tjjz.gov.cn/zwgk/ZFGZBG_20201207/202012/t20201227_5203142.html,
2018,2018,annual,tourist_visits,2660,10k_persons,observed_rounded,all_visitors,gov_jz_report_2019,1,2019-01-15,2026-08-17,https://www.tjjz.gov.cn/zwgk/ZFGZBG_20201207/202012/t20201227_5203369.html,
2018,2018,annual,tourism_comprehensive_income,142,100m_cny,observed_rounded,comprehensive_income,gov_jz_report_2019,1,2019-01-15,2026-08-17,https://www.tjjz.gov.cn/zwgk/ZFGZBG_20201207/202012/t20201227_5203369.html,
2019,2019,annual,tourist_visits,2800,10k_persons,observed_rounded,all_visitors,gov_jz_report_2020,1,2020-01-10,2026-08-17,https://www.tjjz.gov.cn/zwgk/ZFGZBG_20201207/202012/t20201227_5203431.html,
2019,2019,annual,tourism_comprehensive_income,165,100m_cny,observed_rounded,comprehensive_income,gov_jz_report_2020,1,2020-01-10,2026-08-17,https://www.tjjz.gov.cn/zwgk/ZFGZBG_20201207/202012/t20201227_5203431.html,
2021,2021,annual,tourism_comprehensive_income,110,100m_cny,observed_rounded,comprehensive_income,gov_jz_report_2022,1,2021-12-27,2026-08-17,https://www.tjjz.gov.cn/zwgk/ZFGZBG_20201207/202112/t20211227_5762428.html,未找到同口径精确游客量
2023,2023,annual,tourism_direct_income,32,100m_cny,target,direct_income,gov_jz_report_2023,1,2023-01-06,2026-08-17,https://www.tjjz.gov.cn/zwgk/ZFGZBG_20201207/202301/t20230106_6070587.html,2023年目标而非2022年实际
2023,2023,annual,tourism_comprehensive_income,160,100m_cny,target,comprehensive_income,gov_jz_report_2023,1,2023-01-06,2026-08-17,https://www.tjjz.gov.cn/zwgk/ZFGZBG_20201207/202301/t20230106_6070587.html,2023年目标而非2022年实际
2023,2023,annual,tourist_visits,2363,10k_persons,observed_rounded,all_visitors,gov_jz_report_2024,1,2024-01-30,2026-08-17,https://www.tjjz.gov.cn/zwgk/ZFGZBG_20201207/202401/t20240130_6524881.html,
2023,2023,annual,tourism_comprehensive_income,191.5,100m_cny,observed,comprehensive_income,gov_jz_report_2024,1,2024-01-30,2026-08-17,https://www.tjjz.gov.cn/zwgk/ZFGZBG_20201207/202401/t20240130_6524881.html,
2024,2024,annual,tourist_visits,2643,10k_persons,observed_rounded,all_visitors,gov_jz_report_2025,1,2025-01-14,2026-08-17,https://www.tjjz.gov.cn/zwgk/ZFGZBG_20201207/202501/t20250114_6833334.html,
2024,2024,annual,tourism_comprehensive_income,221,100m_cny,observed_rounded,comprehensive_income,gov_jz_report_2025,1,2025-01-14,2026-08-17,https://www.tjjz.gov.cn/zwgk/ZFGZBG_20201207/202501/t20250114_6833334.html,
2025,2025,annual,tourist_visits,2800,10k_persons,target,all_visitors,gov_jz_report_2025,1,2025-01-14,2026-08-17,https://www.tjjz.gov.cn/zwgk/ZFGZBG_20201207/202501/t20250114_6833334.html,2025年目标而非实际
2025,2025,annual,tourism_comprehensive_income,231,100m_cny,target,comprehensive_income,gov_jz_report_2025,1,2025-01-14,2026-08-17,https://www.tjjz.gov.cn/zwgk/ZFGZBG_20201207/202501/t20250114_6833334.html,2025年目标而非实际
2021,2025,five_year_total,tourist_visits,10500,10k_persons,observed_aggregate,all_visitors,gov_jz_report_2026,1,2026-01-21,2026-08-17,https://www.tjjz.gov.cn/zwgk/ZFGZBG_20201207/202601/t20260121_7228239.html,十四五五年累计值；不能直接当作2025年度值
2021,2025,five_year_total,tourism_comprehensive_income,792.5,100m_cny,observed_aggregate,comprehensive_income,gov_jz_report_2026,1,2026-01-21,2026-08-17,https://www.tjjz.gov.cn/zwgk/ZFGZBG_20201207/202601/t20260121_7228239.html,十四五五年累计值；不能直接当作2025年度值
